polled_utc,polled_jst,run_id,new_posts,new_tweet_ids,review_changed,daily,action,note
2026-09-01T12:00:15.155699+00:00,2026-09-01,20260901T120015Z,0,,0,0,no_change,
2026-09-01T13:00:06.316126+00:00,2026-09-01,20260901T130006Z,0,,0,0,no_change,
2026-09-01T13:33:58.503066+00:00,2026-09-01,20260901T133358Z,0,,0,1,forecast,scheduled daily run
2026-09-02T06:00:05.683874+00:00,2026-09-02,20260902T060005Z,0,,0,0,no_change,
2026-09-02T07:13:50.241698+00:00,2026-09-02,20260902T071350Z,0,,0,0,no_change,
2026-09-02T08:01:41.803610+00:00,2026-09-02,20260902T080141Z,0,,0,0,no_change,
2026-09-02T09:02:41.406616+00:00,2026-09-02,20260902T090241Z,0,,0,0,no_change,
2026-09-02T10:03:40.938233+00:00,2026-09-02,20260902T100340Z,0,,0,0,no_change,
2026-09-02T11:00:10.736997+00:00,2026-09-02,20260902T110010Z,0,,0,0,no_change,
2026-09-02T12:05:45.031286+00:00,2026-09-02,20260902T120545Z,0,,0,0,no_change,
2026-09-02T13:06:45.515033+00:00,2026-09-02,20260902T130645Z,0,,0,0,no_change,
2026-09-02T13:42:43.093768+00:00,2026-09-02,20260902T134243Z,0,,0,1,forecast,scheduled daily run
2026-09-03T03:58:55.482148+00:00,2026-09-03,20260903T035855Z,0,,0,0,no_change,
2026-09-03T06:05:36.902494+00:00,2026-09-03,20260903T060536Z,0,,0,0,no_change,
2026-09-03T07:00:00.817970+00:00,2026-09-03,20260903T070000Z,0,,0,0,no_change,
2026-09-03T08:00:05.489202+00:00,2026-09-03,20260903T080005Z,0,,0,0,no_change,
2026-09-03T09:07:58.378019+00:00,2026-09-03,20260903T090758Z,0,,0,0,no_change,
2026-09-03T10:01:03.729423+00:00,2026-09-03,20260903T100103Z,0,,0,0,no_change,
2026-09-03T11:00:02.540547+00:00,2026-09-03,20260903T110002Z,0,,0,0,no_change,
2026-09-03T12:00:05.694706+00:00,2026-09-03,20260903T120005Z,0,,0,0,no_change,
2026-09-03T13:00:09.008466+00:00,2026-09-03,20260903T130009Z,0,,0,0,no_change,
2026-09-03T13:36:13.432914+00:00,2026-09-03,20260903T133613Z,0,,0,1,forecast,scheduled daily run
2026-09-04T02:11:55.000925+00:00,2026-09-04,20260904T021154Z,0,,0,0,no_change,
