tweet_id,created_at_utc,id_created_at_utc,author_id,author_screen_name,is_togashi,lang,text_ja,text_body,has_text,n_media,media_urls,chapters_mentioned,n_chapters_mentioned,favorite_count,conversation_count,is_edited,tweet_url,source,source_type,retrieved_utc,wayback_snapshots
1793555431778115725,2024-05-23T08:11:52.000Z,2024-05-23T08:11:52.241000+00:00,1528978792617611264,Un4v5s8bgsVk9Xp,1,ja,"なんか出てきた笑。
青色が印刷に出ない事も
知らなかった新人の頃の。

#原画展番外編 https://t.co/HiuWc76IC4","なんか出てきた笑。
青色が印刷に出ない事も
知らなかった新人の頃の。

#原画展番外編",1,1,https://pbs.twimg.com/media/GOP9JPPa8AEB6gH.jpg,,0,146375,1185,0,https://x.com/Un4v5s8bgsVk9Xp/status/1793555431778115725,cdn.syndication.twimg.com/tweet-result,x_syndication_api_unauthenticated,2026-08-27T13:50:41.209846+00:00,6
1793914960952861172,2024-05-24T08:00:30.000Z,2024-05-24T08:00:30.676000+00:00,1528978792617611264,Un4v5s8bgsVk9Xp,1,zxx,https://t.co/rgQMk9al27,,0,1,https://pbs.twimg.com/media/GOVEGAma0AAF2-5.jpg,,0,104672,558,0,https://x.com/Un4v5s8bgsVk9Xp/status/1793914960952861172,cdn.syndication.twimg.com/tweet-result,x_syndication_api_unauthenticated,2026-08-27T13:50:42.217303+00:00,2
1793924065021063600,2024-05-24T08:36:41.000Z,2024-05-24T08:36:41.255000+00:00,1528978792617611264,Un4v5s8bgsVk9Xp,1,ja,"今でもたまに聞く。
35年くらい前の落書き。 https://t.co/6fLom6XT0M","今でもたまに聞く。
35年くらい前の落書き。",1,1,https://pbs.twimg.com/media/GOVMaxXa4AE4vfI.jpg,,0,127397,852,0,https://x.com/Un4v5s8bgsVk9Xp/status/1793924065021063600,cdn.syndication.twimg.com/tweet-result,x_syndication_api_unauthenticated,2026-08-27T13:50:43.213029+00:00,9
1794277256837374185,2024-05-25T08:00:08.000Z,2024-05-25T08:00:08.746000+00:00,1528978792617611264,Un4v5s8bgsVk9Xp,1,zxx,https://t.co/UrJ3lysmcH,,0,1,https://pbs.twimg.com/media/GOaNpOOagAEPkWA.jpg,,0,101849,523,0,https://x.com/Un4v5s8bgsVk9Xp/status/1794277256837374185,cdn.syndication.twimg.com/tweet-result,x_syndication_api_unauthenticated,2026-08-27T13:50:44.351543+00:00,1
1794284922355789914,2024-05-25T08:30:36.000Z,2024-05-25T08:30:36.348000+00:00,1528978792617611264,Un4v5s8bgsVk9Xp,1,ja,"カラー原稿の場合はコピーに
色を塗っていたので、生原稿は
こんな形で残っています。

ちなみに昨日の5人はUP-BEATでした。 https://t.co/fOpGn1aNJU","カラー原稿の場合はコピーに
色を塗っていたので、生原稿は
こんな形で残っています。

ちなみに昨日の5人はUP-BEATでした。",1,2,https://pbs.twimg.com/media/GOaUny4bwAAIILI.jpg https://pbs.twimg.com/media/GOaUny3aYAAtrwE.jpg,,0,156589,1044,0,https://x.com/Un4v5s8bgsVk9Xp/status/1794284922355789914,cdn.syndication.twimg.com/tweet-result,x_syndication_api_unauthenticated,2026-08-27T13:50:45.346554+00:00,11
1794639662889439474,2024-05-26T08:00:13.000Z,2024-05-26T08:00:13.082000+00:00,1528978792617611264,Un4v5s8bgsVk9Xp,1,ja,"No.408、ペン入れ完了。
No.409、開始。 https://t.co/Fagig52WH3","No.408、ペン入れ完了。
No.409、開始。",1,1,https://pbs.twimg.com/media/GOfXQf2bMAA9Suj.jpg,408 409,2,106622,677,0,https://x.com/Un4v5s8bgsVk9Xp/status/1794639662889439474,cdn.syndication.twimg.com/tweet-result,x_syndication_api_unauthenticated,2026-08-27T13:50:46.363159+00:00,1
1794645017879044526,2024-05-26T08:21:29.000Z,2024-05-26T08:21:29.811000+00:00,1528978792617611264,Un4v5s8bgsVk9Xp,1,ja,ちょっと何言ってるかわからない。 https://t.co/dx9I7bOfGE,ちょっと何言ってるかわからない。,1,1,https://pbs.twimg.com/media/GOfcIKzaIAAwpHn.jpg,,0,85500,504,0,https://x.com/Un4v5s8bgsVk9Xp/status/1794645017879044526,cdn.syndication.twimg.com/tweet-result,x_syndication_api_unauthenticated,2026-08-27T13:50:47.352638+00:00,9
1795002105037733940,2024-05-27T08:00:26.000Z,2024-05-27T08:00:26.024000+00:00,1528978792617611264,Un4v5s8bgsVk9Xp,1,ja,"文字数多くて台詞入れ永遠に終わらない。

#自業自得 https://t.co/yOTtsFWS7t","文字数多くて台詞入れ永遠に終わらない。

#自業自得",1,1,https://pbs.twimg.com/media/GOkg4x4bAAA26JR.jpg,,0,104588,845,0,https://x.com/Un4v5s8bgsVk9Xp/status/1795002105037733940,cdn.syndication.twimg.com/tweet-result,x_syndication_api_unauthenticated,2026-08-27T13:50:48.362279+00:00,4
1795015895884193978,2024-05-27T08:55:14.000Z,2024-05-27T08:55:14.018000+00:00,1528978792617611264,Un4v5s8bgsVk9Xp,1,zxx,https://t.co/pbD5NY71Pf,,0,1,https://pbs.twimg.com/media/GOktb15aAAAtUGk.jpg,,0,89843,582,0,https://x.com/Un4v5s8bgsVk9Xp/status/1795015895884193978,cdn.syndication.twimg.com/tweet-result,x_syndication_api_unauthenticated,2026-08-27T13:50:49.348166+00:00,13
1795364445029597344,2024-05-28T08:00:14.000Z,2024-05-28T08:00:14.610000+00:00,1528978792617611264,Un4v5s8bgsVk9Xp,1,zxx,https://t.co/GsEIr1FkVz,,0,1,https://pbs.twimg.com/media/GOpqcOcaEAA_-Kp.jpg,,0,99005,510,0,https://x.com/Un4v5s8bgsVk9Xp/status/1795364445029597344,cdn.syndication.twimg.com/tweet-result,x_syndication_api_unauthenticated,2026-08-27T13:50:50.345235+00:00,2
